"Imbalance settlement period (UTC)","+ Imbalance Price [CZK/MWh] - MBA|CZ","- Imbalance Price [CZK/MWh] - MBA|CZ","Status","Total Imbalance [MWh] - MBA|CZ","Difference","Situation","Status"
"09.01.2020 13:00 - 09.01.2020 14:00","-8","-1","Estimated","2","","Surplus","Final"
"09.01.2020 14:00 - 09.01.2020 15:00","-101","-1","Estimated","28","","Surplus","Final"
"09.01.2020 15:00 - 09.01.2020 16:00","-26","-1","Estimated","7","","Surplus","Final"
"09.01.2020 16:00 - 09.01.2020 17:00","2676","2350","Estimated","59","","Deficit","Final"
"09.01.2020 17:00 - 09.01.2020 18:00","2554","2350","Estimated","37","","Deficit","Final"
"09.01.2020 18:00 - 09.01.2020 19:00","-48","-1","Estimated","13","","Surplus","Final"
"09.01.2020 19:00 - 09.01.2020 20:00","2351","2350","Estimated","0","","Balanced","Final"
"09.01.2020 20:00 - 09.01.2020 21:00","-121","-1","Estimated","34","","Surplus","Final"
"09.01.2020 21:00 - 09.01.2020 22:00","-121","-1","Estimated","34","","Surplus","Final"
"09.01.2020 22:00 - 09.01.2020 23:00","2597","2350","Estimated","45","","Deficit","Final"
"09.01.2020 23:00 - 10.01.2020 00:00","-69","-1","Estimated","19","","Surplus","Final"
"10.01.2020 00:00 - 10.01.2020 01:00","-257","-1","Estimated","73","","Surplus","Final"
"10.01.2020 01:00 - 10.01.2020 02:00","2414","2350","Estimated","12","","Deficit","Final"
"10.01.2020 02:00 - 10.01.2020 03:00","-11","-1","Estimated","3","","Surplus","Final"
"10.01.2020 03:00 - 10.01.2020 04:00","-77","-1","Estimated","22","","Surplus","Final"
"10.01.2020 04:00 - 10.01.2020 05:00","-34","-1","Estimated","10","","Surplus","Final"
"10.01.2020 05:00 - 10.01.2020 06:00","2900","2350","Estimated","100","","Deficit","Final"
"10.01.2020 06:00 - 10.01.2020 07:00","3055","2350","Estimated","128","","Deficit","Final"
"10.01.2020 07:00 - 10.01.2020 08:00","2942","2350","Estimated","108","","Deficit","Final"
"10.01.2020 08:00 - 10.01.2020 09:00","-3","-1","Estimated","1","","Surplus","Final"
"10.01.2020 09:00 - 10.01.2020 10:00","2514","2350","Estimated","30","","Deficit","Final"
"10.01.2020 10:00 - 10.01.2020 11:00","2899","2350","Estimated","100","","Deficit","Final"
"10.01.2020 11:00 - 10.01.2020 12:00","2538","2350","Estimated","34","","Deficit","Final"
"10.01.2020 12:00 - 10.01.2020 13:00","-186","-1","Estimated","53","","Surplus","Final"
"10.01.2020 13:00 - 10.01.2020 14:00","-125","-1","Estimated","36","","Surplus","Final"
"10.01.2020 14:00 - 10.01.2020 15:00","2822","2350","Estimated","86","","Deficit","Final"
"10.01.2020 15:00 - 10.01.2020 16:00","2920","2350","Estimated","104","","Deficit","Final"
"10.01.2020 16:00 - 10.01.2020 17:00","2410","2350","Estimated","11","","Deficit","Final"
"10.01.2020 17:00 - 10.01.2020 18:00","-34","-1","Estimated","10","","Surplus","Final"
"10.01.2020 18:00 - 10.01.2020 19:00","2608","2350","Estimated","47","","Deficit","Final"
"10.01.2020 19:00 - 10.01.2020 20:00","2765","2350","Estimated","76","","Deficit","Final"
"10.01.2020 20:00 - 10.01.2020 21:00","-85","-1","Estimated","24","","Surplus","Final"
"10.01.2020 21:00 - 10.01.2020 22:00","-189","-1","Estimated","54","","Surplus","Final"
"10.01.2020 22:00 - 10.01.2020 23:00","-132","-1","Estimated","37","","Surplus","Final"
"10.01.2020 23:00 - 11.01.2020 00:00","-92","-1","Estimated","26","","Surplus","Final"
"11.01.2020 00:00 - 11.01.2020 01:00","-213","-1","Estimated","61","","Surplus","Final"
"11.01.2020 01:00 - 11.01.2020 02:00","-403","-1","Estimated","115","","Surplus","Final"
"11.01.2020 02:00 - 11.01.2020 03:00","-389","-1","Estimated","111","","Surplus","Final"
"11.01.2020 03:00 - 11.01.2020 04:00","-62","-1","Estimated","17","","Surplus","Final"
"11.01.2020 04:00 - 11.01.2020 05:00","-318","-1","Estimated","91","","Surplus","Final"
"11.01.2020 05:00 - 11.01.2020 06:00","-488","-1","Estimated","139","","Surplus","Final"
"11.01.2020 06:00 - 11.01.2020 07:00","-370","-1","Estimated","105","","Surplus","Final"
"11.01.2020 07:00 - 11.01.2020 08:00","-214","-1","Estimated","61","","Surplus","Final"
"11.01.2020 08:00 - 11.01.2020 09:00","-159","-1","Estimated","45","","Surplus","Final"
"11.01.2020 09:00 - 11.01.2020 10:00","-145","-1","Estimated","41","","Surplus","Final"
"11.01.2020 10:00 - 11.01.2020 11:00","2422","2350","Estimated","13","","Deficit","Final"
"11.01.2020 11:00 - 11.01.2020 12:00","-200","-1","Estimated","57","","Surplus","Final"
"11.01.2020 12:00 - 11.01.2020 13:00","-374","-1","Estimated","107","","Surplus","Final"
"11.01.2020 13:00 - 11.01.2020 14:00","-62","-1","Estimated","17","","Surplus","Final"
"11.01.2020 14:00 - 11.01.2020 15:00","-85","-1","Estimated","24","","Surplus","Final"
"11.01.2020 15:00 - 11.01.2020 16:00","-165","-1","Estimated","47","","Surplus","Final"
"11.01.2020 16:00 - 11.01.2020 17:00","-31","-1","Estimated","8","","Surplus","Final"
"11.01.2020 17:00 - 11.01.2020 18:00","2370","2350","Estimated","4","","Deficit","Final"
"11.01.2020 18:00 - 11.01.2020 19:00","-220","-1","Estimated","63","","Surplus","Final"
"11.01.2020 19:00 - 11.01.2020 20:00","-32","-1","Estimated","9","","Surplus","Final"
"11.01.2020 20:00 - 11.01.2020 21:00","2609","2350","Estimated","47","","Deficit","Final"
"11.01.2020 21:00 - 11.01.2020 22:00","-28","-1","Estimated","8","","Surplus","Final"
"11.01.2020 22:00 - 11.01.2020 23:00","-188","-1","Estimated","54","","Surplus","Final"
"11.01.2020 23:00 - 12.01.2020 00:00","-228","-1","Estimated","65","","Surplus","Final"
"12.01.2020 00:00 - 12.01.2020 01:00","-66","-1","Estimated","19","","Surplus","Final"
"12.01.2020 01:00 - 12.01.2020 02:00","-157","-1","Estimated","44","","Surplus","Final"
"12.01.2020 02:00 - 12.01.2020 03:00","-219","-1","Estimated","62","","Surplus","Final"
"12.01.2020 03:00 - 12.01.2020 04:00","-124","-1","Estimated","35","","Surplus","Final"
"12.01.2020 04:00 - 12.01.2020 05:00","2431","2350","Estimated","15","","Deficit","Final"
"12.01.2020 05:00 - 12.01.2020 06:00","2382","2350","Estimated","6","","Deficit","Final"
"12.01.2020 06:00 - 12.01.2020 07:00","-181","-1","Estimated","51","","Surplus","Final"
"12.01.2020 07:00 - 12.01.2020 08:00","-301","-1","Estimated","86","","Surplus","Final"
"12.01.2020 08:00 - 12.01.2020 09:00","-313","-1","Estimated","89","","Surplus","Final"
"12.01.2020 09:00 - 12.01.2020 10:00","-338","-1","Estimated","96","","Surplus","Final"
"12.01.2020 10:00 - 12.01.2020 11:00","-311","-1","Estimated","89","","Surplus","Final"
"12.01.2020 11:00 - 12.01.2020 12:00","-192","-1","Estimated","55","","Surplus","Final"
"12.01.2020 12:00 - 12.01.2020 13:00","-167","-1","Estimated","47","","Surplus","Final"
"12.01.2020 13:00 - 12.01.2020 14:00","-88","-1","Estimated","25","","Surplus","Final"
